word;d;type;t
backtrack;retroceso {m};n;{n} /?b�k.tr�k/ (the act of backtracking)
backtrack;retroceder;v;{v} (retracing one's steps)
backtrack;repasar;v;{v} (reviewing previous work)
backup;de reserva;adj;"{adj} (standby, reserve or extra)"
backup;"respaldo {m}, reserva {f}";n;{n} /?b�k.?p/ (reserve)
backup;"respaldo {m}, copia de seguridad {f}";n;{n} (copy of file or record)
back vowel;vocal posterior {m};n;{n} (Any vowel sound produced in the back of the mouth)
backward compatibility;retrocompatibilidad {f};n;{n} (compatibility with older systems)
backward compatible;retrocompatible;adj;{adj} (compatible with older systems)
backwards;"a contrapelo, hacia atr�s";adj;{adj} /?b�k.w?(?)dz/ (oriented toward the back)
backwards;invertido;adj;{adj} (reversed)
backwards;hacia atr�s;adv;{adv} (toward the back)
backwater;patel�n {m};n;"{n} (a remote place; somewhere that remains unaffected by new events, progresses, ideas, etc.)"
backwater;remanso {m};n;{n} (The water held back by a dam or other obstruction)
backyard;traspatio {m};n;{n} /b�k?j??(?)d/ (yard to the rear of a house)
bacon;"tocino {m}, [Cuba, Spain] beicon {m}, [Colombia, Dominican Republic, Venezuela] tocineta {f}, [Argentina, Uruguay] panceta ahumada {f}, bac�n {m}";n;{n} /?be?k?n/ (cut of meat)
bacon;tocino {m};n;{n} (thin slice of pork)
bacteria;bacterias;n;{n} /b�k?t??.i.?/ (bacteria)
bacterial;bacteriano;adj;{adj} /b�k?t??????]/ (of or caused by bacteria)
bactericide;bactericida {m} {f};n;{n} /b�k?t???.??sa?d/ (Any substance that kills bacteria)
bacteriological;bacteriol�gico;adj;{adj} (of or pertaining to bacteriology)
bacteriologist;bacteri�logo {m} {f};n;{n} (microbiologist)
bacteriology;bacteriolog�a {f};n;{n} /b�k?t???.???l?d?i/ (scientific study of bacteria)
bacteriophage;bacteri�fago;n;{n} /b�k?t???.????fe?d?/ (a virus that infects bacteria)
bacterium;bacteria {f};n;{n} /b�k?t???.??m/ (single celled organism with no nucleus or organelles)
Bactria;Bactriana {f};prop;{prop} /?b�kt???/ (Greek name for ancient country)
Bactrian camel;camello bactriano {m};n;{n} (
bad;malo;adj;{adj} /b�d/ (not good)
bad;malo;adj;{adj}
bad;;adj;"{adj} (spoilt, rotten, overripe) SEE:"
bad;;adv;{adv} (badly) SEE:
Badajoz;Badajoz;prop;{prop} /?b??d??ho?s/ (city )
bad apple;"manzana podrida {f}, mal elemento {m}, oveja negra {f}";n;{n} (a person who is not wholesome)
badass;"malvado {m}, atrevido {m}, riesgoso {m}, adventurero {m}";adj;{adj} /?b�d�s/
badge;piocha {f} [Chile];n;{n} /b�d?/ (distinctive mark)
badge;identificaci�n {f} or credencial {f};n;{n} (card to grant access)
badge;"insignia {f}, chapa {f}, pin {m}, piocha {f} [Chile]";n;{n}
badger;tej�n {m};n;{n} /?b�d??/ (mammal)
badger;;n;{n} (native or resident of Wisconsin) SEE:
badger;;v;{v} (fart) SEE:
badger;"fastidiar, molestar";v;{v} (pester)
badlands;tierras bald�as {f} {p};n;{n} /?b�d.l�ndz/ (arid terrain with severely eroded sedimentary rocks)
bad luck;mala suerte {f};n;{n} (misfortune)
badly;mal;adj;"{adj} /?b�d.li/ (ill, unwell)"
badly;malamente;adv;{adv} (in a bad manner)
badness;maldad;n;{n} /?b�d.n?s/ (the quality of being bad)
bad news;"embroll�n {m}, camorrista {m}";n;{n} (irritating person)
bad news;malas noticias {f} {p};n;"{n} (news of unpleasant, unfortunate or sad events)"
bad-tempered;malhumorado;adj;{adj} (showing anger)
bad trip;mal viaje {m};n;{n} (psychedelic crisis)
badware;;n;{n} (malware) SEE:
baffle;"desconcertar, confundir";v;{v} /?b�fl?/ (totally bewilder; confuse or perplex)
baffling;desconcertante;adj;{adj} (puzzling and frustrating)
bag;;n;{n} (backpack) SEE:
bag;"bolsa {f}, saco {m} [in certain contexts], cartucho {m} [Panama - a 'paper bag' in Cuba], funda {m} [Dominican Republic, Ecuador], jaba {f} [Cuba], talego {m} [Colombia]";n;{n} /b�?/ (flexible container)
bag;;n;{n} (suitcase) SEE:
bagatelle;bagatela {f};n;{n} /?b�???t?l/ (trifle)
bagatelle;billar romano {m};n;{n} (game)
bagatelle;bagatela {f};n;{n} (literature or music)
bagel;"panecillo {m}, bagel";n;{n} /?be???l/ (toroidal bread roll)
baggage;equipaje {m};n;{n} /?b�??d?/ (luggage)
Baghdadian;;adj;{adj} (Baghdadi) SEE:
Baghdadian;;n;{n} (Baghdadi) SEE:
baglady;;n;{n} (bag lady) SEE:
bagpipe;;n;{n} /?b�g.pa?p/ (bagpipes) SEE:
bagpiper;gaitero {m};n;{n} (one who plays the bagpipes)
bagpipes;gaita {f};n;{n} /?b�?.p??ps/ (musical wind instrument)
baguette;baguete {f};n;{n} /b�?g?t/ (a variety of bread that is long and narrow in shape)
Bahamas;las Bahamas {f} {p};prop;{prop} /b??h??.m?z/ (country in the Caribbean)
Bahamian;bahame�o {m};adj;{adj} /b??he?m.??n/ (pertaining to the Bahamas)
Bahamian;bahame�o {m};n;{n} (person from the Bahamas)
Bahrain;"Bahr�in, Bahr�in";prop;{prop} /b????e?n/ (Country in the Middle East)
Bahraini;bahrein� {m};adj;"{adj} (of, from, or pertaining to Bahrain or the Bahraini people)"
Bahraini;bahrein� {m};n;{n} (a person from Bahrain or of Bahraini descent)
bail;"fianza {f}, cauci�n {f}";n;{n} /be??]/ (security)
bail;balde {m};n;{n} (bucket or scoop)
bail;achicar;v;{v} (to remove water)
bail bond;fianza {f};n;{n} (surety posted as bail)
bailiff;alguacil;n;{n} /?be?l?f/
bailiwick;bail�a {f};n;{n} (area or subject of authority or involvement)
bailiwick;bail�a {f};n;{n} /?be?.l?.w?k/ (precincts within a bailiff has jurisdiction)
bail out;saltar del avi�n;v;{v} (To exit an aircraft while in flight)
bail out;abandonar;v;{v} (To leave or not attend)
bail out;achicar;v;{v} (To remove water from a boat by scooping it out)
bail out;sacar de un apuro;v;"{v} (To rescue, especially financially)"
bailout;suministro de escapada {m};n;{n} (a backup supply of air in scuba diving)
bailout;"rescate {m}, rescate financiero {m}";n;"{n} /?be?l?awt/ (a rescue, especially a financial rescue)"
bain-marie;ba�o Mar�a {m};n;{n} (pan containing hot water)
bait;"anzuelo {m}, carnada {f}";n;{n} (anything which allures)
bait;"carnada {f}, cebo {m}";n;{n} /be?t/ (substance used in catching fish)
bait;cebar;v;{v} (to attract with bait)
Baja California;Pen�nsula de Baja California {f};prop;{prop} /?b??.h??.k�l??f??(?)n.??/ (mountainous peninsula)
Baja California;Baja California {f};prop;{prop} (state of Mexico)
Baja California Sur;Baja California Sur {f};prop;{prop} (state of Mexico)
Bajan;;adj;{adj} (Barbadian) SEE:
Bajan;;prop;{prop} (Barbadian) SEE:
bake;hornear;v;{v} /be?k/ (to cook in an oven)
bake;"hornear, enhornar";v;{v}
baked beans;baked beans {f} {p};n;{n} (food)
Bakelite;baquelita {f};n;{n} /?be?k.?.la?t/ (a heat-resisting chemically inert resin)
baker;panadero {m};n;"{n} /?be?.k?/ (person who bakes and sells bread, etc)"
baker's;panader�a {f};n;{n} (baker's)
baker's dozen;docena del fraile;n;{n} (set of
bakery;panader�a {f};n;{n} /?be?.k?.ri/ (a shop in which bread and such is baked and sold)
baking powder;"polvo de hornear {m}, [Chile] royal {m}";n;{n} (a dry leavening agent used in baking)
baking tray;"bandeja {f}, bandeja del horno {f}";n;{n} (oven-proof tray)
baklava;baclava {f};n;{n} /b??kl??.v?/ (sweet pastry)
b'ak'tun;"bakt�n {m}, baktun {m}";n;{n} /?b?k?tun/ (Maya calendar period of 144000 days)
Baku;Bak�;prop;{prop} (the capital of Azerbaijan)
balaclava;pasamonta�as {m};n;{n} /?b�l.??kl??.v?/ (headgear)
balalaika;balalaica {f};n;{n} /b�l??la?k?/ (russian instrument)
balance;balanza {f};n;{n} /?b�l?ns/ (scales)
balance;equilibrio {m};n;{n} (equilibrium)
balance;balance {m};n;{n} (list of credits and debits)
balance;equilibrio {m};n;{n} (support for both viewpoints)
balance;balancear;v;{v} (make (items) weigh up)
balance;hacer balance;v;{v} (make the credits and debits of (an account) correspond)
balanitis;balanitis {f};n;{n} (inflammation of penis)
balaphone;;n;{n} (balafon) SEE:
balboa;balboa {m};n;{n} /b�l?b???/ (currency of Panama)
balcony;balc�n {m};n;{n} /?b�lk?ni/ (structure extending from a building)
balcony;palco {m};n;{n} (structure overlooking a stage)
bald;calvo;adj;{adj} /b?ld/ (having no hair)
bald eagle;"�guila calva {f}, pigargo cabeciblanco {m}";n;{n} (species of eagle native to North America)
baldie;pelado {m};n;{n} (somebody bald)
baldness;calvicie {f};n;{n} (The state of being bald)
bale;bala {f};n;{n} /be?l/ (rounded bundle of goods)
bale;bala {f};n;{n} (measurement of paper)
bale;;v;{v} (to remove water from a boat) SEE:
bale;embalar;v;{v} (to wrap into a bale)
Balearic;bale�rico;adj;{adj} /b�l??�??k/ (of the Balearic Islands)
Balearic Islands;Islas Baleares {f} {p};prop;{prop} (group of Mediterranean islands)
Balearic Sea;mar Balear;prop;{prop} (sea)
baleen;barbas de ballena {f} {p};n;{n} (plates in mouth of baleen whale)
baleful;funesto;adj;{adj} /?be?l.f?l/ (ominous)
baler;empacadora {f};n;{n} (machine)
baler;empacador {m};n;{n} (profession)
Bali;Bali {m};prop;{prop} /?b??li/ (name of island)
Balkan;balc�nico;adj;{adj} /?b??lk?n/ (Of or relating to the Balkan Peninsula)
Balkanization;balcanizaci�n {f};prop;{prop} /?b?l.k?n.a??ze?.??n/ (fragmentation of a region into several small states)
ball;bala {f};n;{n} (ballistics: a solid nonexplosive missile)
ball;"bola {f}, esfera {f}";n;{n} /b?l/ (solid or hollow sphere)
ball;baile {m};n;{n} (formal dance)
ball;"agallas {f} {p}, huevos {m} {p}";n;{n} (in plural � slang � courage)
ball;"esfera {f} (3D), c�rculo {m} (2D)";n;{n} (mathematics: set of points in a metric space lying within a given distance of a given point)
ball;"pelota {f}, bal�n {m}, bola {f}";n;"{n} (object, generally spherical, used for playing games)"
ball;tirada {f};n;{n} (pinball: an opportunity to launch the ball into play)
ball;bola {f};n;"{n} (quantity of string, thread, etc., wound into a spherical shape)"
ball;"huevos {p}, cojones {p}, pelotas {f} {p}";n;{n} (testicle)
ball;"follar con (Spain), coger con (Mexico), tirarse a (others)";v;{v} (vulgar slang: have sexual intercourse with)
ballad;balada {f};n;{n} /?b�l?d/ (love song or poem that tells a story)
ballad;balada {f};n;{n} (slow romantic pop song)
ballast;lastre {m};n;{n} (anything that steadies emotion or mind)
ballast;lastre {m};n;{n} /?b�l.?st/ (heavy material placed in the hold of a vessel)
ballast;"balasto {m}, balastro {m}";n;{n}
ballast;"balasto {m}, balastra {f}";n;{n} (electronics)
ballast;"balastro {m}, balasto {m}";n;{n} (material laid to form a bed for a road)
ballast;lastrar;v;{v} (to stabilize a ship with ballast)
ball boy;recogepelotas {m} {f};n;{n} (A male person responsible for retrieving balls)
ballerina;bailarina {f};n;{n} /?b�l???i?n?/ (A female ballet dancer)
ballet;"ballet {m}, baile {m}";n;{n} /b�?le?/ (classical form of dance)
ball game;juego de pelota {m};n;{n} (game played with a ball)
ball girl;recogepelotas {f};n;{n} (one who clears balls)
ballistic;bal�stico;adj;{adj} /b??l?st.?k/ (relating to ballistics)
ballistics;bal�stica {f};n;{n} /b??l?st.?ks/ (science of the study of falling objects)
ball lightning;rayo globular {m};n;"{n} (a short-lived, glowing ball sometimes observed to float in the air)"
balloon;globo {m};n;{n} /b??lu?n/ (inflatable object)
balloon;"globo {m}, bomba {f} [Colombia, Venezuela], chimbomba {f} [Nicaragua]";n;{n} (child�s toy)
balloon;;n;{n} (speech bubble) SEE:
ballot;"papeleta de voto {f}, balota {f}";n;{n} /?b�l?t/ (paper used for vote-casting)
ballot;candidatura {f};n;{n} (list of candidates)
ballot;elecciones {f} {p};n;{n} (process of voting)
ballot;"votar, balotar";v;{v} (to vote)
ballpoint pen;"bol�grafo {m}, birome {f} [Argentina, Paraguay, Uruguay], boli {m} [Spain, colloquial], esfero {m} [Colombia, Ecuador], lapicero {m} [Colombia, Costa Rica, El Salvador, Guatemala, Nicaragua, Peru, Venezuela], l�piz pasta {m} [Chile], mango {m} [Eastern Bolivia], pluma {m} [Mexico], plumero {m} [Colombian Atlantic Coast], puntabola {f} [Bolivian standard usage]";n;{n} (pen)
ballroom;sal�n de baile {m};n;{n} (large room used for dancing)
balls;;n;"{n} /b??lz/ (follow the translations in the entry ""ball"") SEE:"
balls;huevos {m} {p};n;{n} (bravery)
balls;"huevos {m} {p}, pelotas {f} {p}";n;{n} (testicles)
balls-deep;hasta las pelotas;adv;{adv} (with the penis fully immersed in an orifice)
ballsy;cojonudo {m};adj;{adj} /?b?lzi/ (having balls)
ball up;apelotonar;v;{v} (to crush into a ball)
ballyhoo;"alboroto, jaleo";n;{n} /b�li?hu?/ (noise shouting or uproar)
ballyhoo;alborotar;v;{v} (to sensationalise or make grand claims)
balm;;n;{n} /b?m/ (sweet-smelling oil or resin derived from some plants) SEE:
balm;;n;{n} (figurative: something soothing) SEE:
balm;;n;{n} (plant or tree yielding such substance) SEE:
balm;;n;{n} (soothing lotion) SEE:
Balochi;belucho;prop;{prop} (language)
baloney;mortadela {f};n;{n} /b??l??ni/ (type of smoked sausage)
baloney;chorrada {f};n;{n} (nonsense)
balonie;;n;{n} (baloney) SEE:
balsam;;n;{n} (balsam fir) SEE:
balsam;b�lsamo {m};n;{n} /?b??ls?m/ (soothing ointment)
balsam;balsamina {f};n;{n} (flowering plant of the genus
balsam;;n;{n} (turpentine from the resin of balsam fir) SEE:
Baltic;;prop;{prop} (Baltic Sea) SEE:
Baltic;B�ltico;prop;{prop} /?b?l.t?k/ (Balticum)
Baltic Sea;mar B�ltico {m};prop;{prop} (a sea)
balustrade;balaustrada {f};n;{n} /?b�l.?.stre?d/ (row of balusters)
Bambara;bambara;prop;{prop} (language)
bamboo;bamb� {m};n;{n} /b�m?bu/ (plant)
bamboo;bamb� {m};n;{n} (wood)
ban;prohibici�n {f};n;{n} (prohibition)
ban;prohibir;v;{v} /b�n/ (forbid)
banal;banal;adj;{adj} /b??n??l/ (common)
banality;banalidad {f};n;{n} /b??n�l?ti/ (quality of being banal)
banana;"banana {f} [Argentina, Bolivia, Paraguay, Uruguay], banano {m} [Central America, Colombia, Ecuador], cambur {m} [Colombian Llanos, Venezuela], guineo {m} [Colombian Atlantic Coast, Dominican Republic, Eastern Bolivia, Eastern Cuba, Ecuador, El Salvador, Guatemala, Nicaragua, Northern Honduras, Northwestern Venezuela, Panama, Puerto Rico, Southern and Southeastern Mexico], m�nimo {m} [Central Honduras], pl�tano {m} [Spain, Chile, Mexico, Peru], pl�tano fruta {m} [Cuban standard usage]";n;{n} /b??n�n?/ (fruit)
banana;bananero {m};n;{n} (plant)
banana republic;rep�blica bananera {f};n;{n} (small country dependent on a single export commodity with a corrupt dictatorial government)
banana split;banana split {m};n;{n} (A dessert containing a banana cut in half)
Banbury story of a cock and a bull;una historia sin pies ni cabeza (a story without feet or head);n;"{n} (roundabout, nonsensical story)"
band;"cinta {f}, franja {f}";n;{n} /b�nd/ (strip of material wrapped around things to hold them together)
band;pasmo {n};n;{n} (group of energy levels in a solid state material)
band;"banda {f}, grupo {m}";n;{n} (group of musicians)
band;banda {f};n;{n} (group of people loosely united for a common purpose)
band;banda {f};n;{n} (part of radio spectrum)
bandage;"venda {f}, vendaje {m}";n;{n} /?b�nd?d?/ (medical binding)
bandage;vendar;v;{v} (to apply a bandage to something)
band-aid;"curita {f} [Latin America], parche curita [Chile], tirita {f}, ap�sito {m} [Spain], esparadrapo {m}";n;{n} (adhesive bandage)
bandana;paliacate {m};n;{n} /b�n?d�n.?/ (large kerchief)
Bandar Seri Begawan;Bandar Seri Begawan {m};prop;{prop} (capital of Brunei)
banded anteater;;n;{n} (numbat) SEE:
banderillero;banderillero {m};n;{n} /?b�nd??i??je????/ (one who sticks the banderillas in the bull's neck)
bandicoot;bandicut {m};n;{n} /?b�nd??ku?t/ (small marsupial)
bandit;bandido {m};n;{n} /?b�nd?t/
bandoleer;"bandolera {f}, canana {f}";n;{n} /?b�nd??l??(?)/ (a pocketed belt)
bandoneon;bandone�n {m};n;{n} (accordion)
band-tailed antshrike;batar� Guayan�s;n;{n} (bird)
bandwidth;ancho de banda {m};n;{n} /?b�ndw?d?/ (width of a frequency band)
bandwidth;ancho de banda {m};n;{n} (measure of data flow rate in digital networks)
bandwidth;ancho de banda {m};n;{n} (width of the smallest frequency band within which the signal can fit)
bandy;arqueado;adj;{adj} (bowlegged)
bandy;"intercambiar, cambiar";v;{v} /?b�ndi/
bane;;n;{n} (killer) SEE:
bane;"desgracia {f}, maldici�n {f}, ruina {f}, perdici�n {f}";n;{n} (source of harm or ruin; affliction)
bane;maldecir;v;{v} (to be the bane of)
bane;"envenenar, intoxicar";v;{v} (to be the poison of)
bane;;v;{v} (to (kill by) poison) SEE:
bang;pum;interj;{interj} (verbal percussive sound)
bang;"explosi�n {f}, detonaci�n {f}";n;{n} (An explosion)
bang;"golpe {m}, zumbido {m}, percusi�n {f}, zarpazo {m}";n;{n} (A strike upon an object causing such a noise)
bang;"estallido {m}, estruendo {m}";n;{n} /b�?(g)/ (A sudden percussive noise)
bang;;n;{n} (bangs) SEE:
bang;signo de exclamaci�n {m};n;{n} (The symbol�!)
Bangalore;Bangalore {m};prop;"{prop} /?b�???l??(?)/ (state capital of Karnataka, India)"
bangers and mash;salchichas con pur� {f} {p};n;"{n} (meal of sausages and mashed potato, usually with onions and gravy added)"
Bangkok;Bangkok {m};prop;{prop} /b�??k?k/ (the capital of Thailand)
Bangla;;prop;{prop} (Bengali) SEE:
Bangladesh;Bangladesh {m};prop;{prop} /?b�?.?l?.?d??/ (country)
Bangladeshi;banglades�;adj;"{adj} (of, from, or pertaining to Bangladesh)"
